facebookUrl,price,location,text,brand,model,year,engine,fuel,km,boite,condition,transaction,price_clean
https://www.facebook.com/marketplace/algiers/search?query=voiture,100.0,الجزائر,Vend voiture,,,,,,,,,sell,1000000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,2.0,الجزائر,ved voirure,,,,,,,,,sell,20000000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,137.0,الجزائر,Zotye nomad 2,Zotye,Nomad 2,,,,,,,sell,1370000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,123.0,الجزائر,206 ess 1.6 16v,Peugeot,206,,1.6,essence,,manual,,sell,1230000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,1.0,رغاية,Nissan tiida boite auto 2008 tres tres propre,Nissan,Tiida,2008.0,1.6,essence,,automatic,very clean,sell,10000000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,140.0,الجزائر,GEELY X2,Geely,X2,,,,,,,sell,1400000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,بني مراد,Ford fiesta 2011 ess 1.25,Ford,Fiesta,2011.0,1.25,essence,,manual,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,5.0,الجزائر,Location,,,,,,,,,rent,50000000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,الجزائر,208 essence 2015 1.2 160000 km...........[hidden information]...........,Peugeot,208,2015.0,1.2,essence,160000.0,manual,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,الجزائر,Opel Astra,Opel,Astra,,,,,,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,براقي,Mini cooper s,Mini,Cooper S,,,,,,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,زرالدة,Vente voiture,,,,,,,,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,الجزائر,2008 Alto Alto,Suzuki,Alto,2008.0,,,,,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,1.0,الجزائر,Automobile,,,,,,,,,sell,10000000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,الجزائر,Campus 2007 1.5 dci francais,Renault,Clio Campus,2007.0,1.5,diesel,,manual,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,305.0,الجزائر,Voiture,,,,,,,,,sell,3050000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,774967534.0,بئر توتة,2011 0774967534 265 Polo,Volkswagen,Polo,2011.0,,,,,,sell,7749675340.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,الجزائر,A vendre voiture,,,,,,,,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,1.0,الجزائر,IBIZA,Seat,Ibiza,,,,,,,sell,10000000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,111.0,الجزائر,Voiture très propre,,,,,,,,very clean,sell,1110000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,11111.0,الجزائر,شيري يوكي جديد 2021مهتم [hidden information],Chery,Yuki,2021.0,,,,,new,sell,111110.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,125.0,الجزائر,"207 1.6 hdi. 
موتور   الله يبارك. شوك مكانش فيها صبيغة. 
[hidden information]",Peugeot,207,,1.6,diesel,,,,sell,1250000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,85.0,الجزائر,Vend véhicule dahatsu,Daihatsu,,,,,,,,sell,850000000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,195.0,الجزائر,Ibiza fully,Seat,Ibiza,,,,,,fully equipped,sell,1950000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,210.0,الأخضرية,Swift dezire 2015,Suzuki,Swift Dzire,2015.0,,,,,,sell,2100000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,صور الغزلان,i10 La touut [hidden information],Hyundai,i10,,,,,,fully equipped,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,135.0,الجزائر,Voiture,,,,,,,,,sell,1350000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,الجزائر,Ds7 2023,DS,7,2023.0,,,,,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,1080000.0,الجزائر,Clio 4 limitd 2 machi 160 nlf 00 sbiga,Renault,Clio 4,,1.6,,,manual,,sell,10800000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,75.0,الجزائر,Ibiza la high +,Seat,Ibiza,,,,,,,sell,750000000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,1.0,الجزائر,Leon Fr beats 2019,SEAT,Leon,2019.0,,essence,,,,sell,10000000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,123.0,درارية,Dacia Logan [hidden information],Dacia,Logan,,,,,,,sell,1230000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,الرويبة,Voiture,,,,,,,,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,156.0,البويرة,2013 رونو كومبيس لاتوت,Renault,Kangoo,2013.0,,,,,,sell,1560000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,1234.0,الجزائر,Polo 2019,Volkswagen,Polo,2019.0,,,,,,sell,12340000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,عين الحمام,2012 Renault Clio 3 Night and day,Renault,Clio 3,2012.0,,,,,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,180.0,بوفاريك,Safrane 2.2 dt 2001 0774894881,Renault,Safrane,2001.0,2.2,diesel,,,,sell,1800000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,415.0,الجزائر,"Fiat 500 édition cabriolet  32elf 
اقرا لتحت",Fiat,500,,,,,,,sell,4150000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,310.0,بواسماعيل,renault kwid 2024,Renault,Kwid,2024.0,1.0,essence,,manual,,sell,3100000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,120.0,شرشال,Voiture 2 ème main,,,,,,,,,sell,1200000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,245.0,الجزائر,Une très belle i10 0sbigha,Hyundai,i10,,,essence,,,very good,sell,2450000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,360.0,الجزائر,Swift 2022 boîte auto,Suzuki,Swift,2022.0,1.2,essence,,automatic,,sell,3600000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,123456.0,قرواو,Geely ray,Geely,Ray,,,,,,,sell,1234560.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,333.0,الجزائر,Salam golf 7 highline 2014,Volkswagen,Golf 7,2014.0,,,,,,sell,3330000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,444.0,الجزائر,2006 Peugeot 407,Peugeot,407,2006.0,,,,,,sell,4440000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,200000.0,الكليتوس,Voiture,,,,,,,,,sell,2000000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,0.0,الجزائر,Zoty z100 suzuki,Zoty,Z100,,,,,,,sell,0.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,1111.0,أولاد فايت,Leon 2016 boite auto 1.6 mpi,SEAT,Leon,2016.0,1.6,essence,,automatic,,sell,11110000.0
https://www.facebook.com/marketplace/algiers/search?query=voiture,123.0,الجزائر,Ibiza,SEAT,Ibiza,,,essence,,,,sell,1230000.0
